Question,Column1,Answer,Label
"['One work in a cycle by this artist has ""The Big C"" written in the center and shows a blue motorcycle on the left. This artist of a Last Supper series left the right sides blank in a group of works showing vehicle accidents, such as Silver Car Crash. This artist of the Death and Disaster series roped the Velvet Underground into his Exploding Plastic Inevitable events. He used silkscreening in his Pittsburgh studio, The Factory, to make prints of Mao and Jackie Kennedy. For 10 points, name this pop artist of the Marilyn Diptych who depicted many Campbell\'s Soup cans.']",0.390016562,['Andy Warhol '],artist
"[""Research on this artist's late work focuses on study of his letters to Adolphe Tavernier, and his thin output of drawings includes works said to foreshadow the interiors of Vuillard, such as La Famille and La Lecon, which show his children Pierre and Jeanne doing their homework. Other drawings include Landscape with a Donkey near Saint-Mammes, while he painted seascapes at the cliffs of Penarth and Langland Bay. He used pale pinks and blues in Early Snow at (*) Louveciennes, though he also did greyer works depicting chesnuts at Saint-Cloud and a flood at Port-Marly. He also depicted a bridge at Moret-sur-Loing, where he painted a lane of poplars. Best known for depictions of landscapes and regattas near Molesey and Hampton on the Thames, for 10 points, name this English Impressionist.""]",0.482247245,['Alfred Sisley '],artist
"['A curved mirror in the top background shows the fireplace that a sumptously painted woman contemplates in Il Dolce Far Niente and this man\'s first work in his mature style was Rienzi Avowing to Avenge the Death of His Brother. His trips to Jerusalem inspired paintings such as The Afterglow in Egypt and Triumph of the Innocents, while the ""muscular Christianity"" of Hughes and Kingsley inspired his depiction of Christ in (*) The Shadow of Death. Peggoty\'s search for Emily in David Copperfield inspired a painting in which a dandy reclines and curls his arm around a woman about to sit in his lap. Another work shows Jesus in a moonlit grove about to knock on a door. For 10 points, name this distinctly religious Pre-Raphaelite painter of The Awakening Conscience and The Light of the World.']",0.598091738,['William Holman Hunt '],artist
"['This artist depicted a certain structure ""at Bellevue"" and ""at Montbriand"". In addition to those depictions of The Pigeon House, he depicted the titular shirtless black man in jeans resting his head in one work, while a man dressed completely dressed in white gestures to a black and white harlequin in another. In addition to The Negro Scipion and Fastnacht, he created various depictions of an Avenue at (*) Chantilly, and Paul Alexis reads to one of his friends in another work. Rilke wrote some letters on this artist, who depicted a large crevice in the title structure in his House with Burst Walls, and depicted his mother knitting as his sister plays the piano in The Overture to Tannhauser. For 10 points, name this artist who was represented by Claude Lantier in The Masterpiece by Emile Zola.']",0.761391409,['Paul Cezanne '],artist
"['This artist painted a house with nine columns from an angle that obscures the bottom with brown- orange metal strips, in a work titled House by the Railroad. A barber pole and a fire hydrant cast long shadows in front of a row of shops in his Early Sunday Morning, and two women sit at a table with a blue bowl and red teapot with a visible sign for (*) the title food of his Chop Suey. This man also advertised five-cent Phillies in a painting of two men and a red-haired woman sitting at a diner. For 10 points, name this painter of Nighthawks.']",0.559395364,['Edward Hopper'],artist
"[""One of this architect's window grids was transformed into a playable Tetris game in 2012. Besides the MIT Green building, this architect has also designed a Boston skyscraper with a parallelogram base. That skyscraper, notorious for its faulty window panes, is the John Hancock Tower. Due to the limitations of a trapezoidal lot, his East Wing of the National Gallery of Art contains many sharp angles, and the John F. Kennedy Presidential Library and the Rock and Roll Hall of Fame both include his signature triangles. For 10 points, name this Chinese-American architect whose glass pyramid marks the entrance to the Louvre.""]",0.439365248,['Ieoh Ming Pei'],artist
"[""In one painting by this artist, the papal coat of arms is visible on an orange flag to which an olive branch has been affixed. In that painting by this artist, a key rests on the steps next to a blue-and-yellow-clad Saint Peter who sits diagonally below the title figure. In another painting by this artist, a decapitated calf's head lies under a satyr who holds a trophy and is tangled in a serpent. One of the title figures of that painting by this artist wears a pink cape and leaps out of a chariot drawn by cheetahs. This artist painted a reclining nude who holds a bouquet of roses in her right hand and shields her loins with her left while a brown-and-white dog curls at her feet. For 10 points, name this Venetian painter of the Pesaro Madonna, Bacchus and Ariadne, and the Venus of Urbino.""]",0.353014185,['Titian '],artist
"[""In a portrait by this artist, St. Paul's Cathedral and other London scenery are visible through a window, next to which a Polish general grabs at his bandaged head and rests on a green sofa. A woman covered in a green shawl appears to be crying on the left side of a painting by this artist, in which a gathering crowd looks upon a woman dressed in white, who is holding an urn containing the remnants of a Roman general. This artist of Agrippina Landing at Brundisium with the Ashes of Germanicus and second president of the (*) Royal Academy inaccurately included Simon Fraser in the center of another painting. In that painting, a Native American crouches to view the title wounded British general, resting in the hands of his comrades at the Plains of Abraham. For 10 points, name this Anglo-American painter of The Death of General Wolfe.""]",0.760159279,['Benjamin West'],artist
"[""This painter depicted three umpires in a work variously known as Game Called Because of Rain or Bottom of the Sixth. The center of another of his paintings features an old man and old woman serving a turkey; that painting, (*) Freedom from Want, is part of this man's Four Freedoms series. This man's depiction of Rosie the Riveter appeared on the May 29, 1943 cover of a magazine. For 10 points, name this illustrator who, from 1916 to 1963, produced covers for the Saturday Evening Post.""]",0.644137797,['Norman Percevel Rockwell'],artist
"[""Hungarian artist Istvan Orosz recreated an experiment in perspective by this man in a 2000 installation using a sheet and a mirror. He had a large ship named Badalone built to transport many of his supplies, but the ship sank on its first voyage nearly bankrupting him. Visual representations of him are scarce and include his portrait in Donatello's Beardless Prophet and a presumed appearance in Masaccio's Resurrection of the Son of Theophilus. His own works include his first commission, the so-called Hospital of the Innocents, and his last, the Pazzi Chapel. However, his fame rested on solving a problem that had confounded Arnolfo di Cambio 120 years earlier. For 10 points, name this man who won the right to design the dome of the Florence Cathedral seventeen years after finishing second to Ghiberti in the contest to design the second doors of the Florentine Baptistery.""]",0.956478067,['Filippo Brunelleschi'],artist
"['This painter created four crayon self-portraits for a lecture that argues ""Exactitude is Not Truth."" At the bottom of one notable painting by this artist, a woman plays two flute-like instruments at the same time. In the background of that painting, two goats are positioned nearby another figure playing with a wind instrument. This man\'s experiment with divisionist technique can be seen in his depiction of the French Riviera, which is titled after Baudelaire\'s concepts of Luxury, Peace, and Pleasure. A window to the outside world can be seen in his painting of a maid placing fruit and wine on a table, which is titled Harmony in Red. He was the leader of a group that included Raoul Dufy and Andre Derain as members. The background of another of his paintings depicts five figures cavorting in a circle. For 10 points, identify this painter of The Joy of Life and The Dance, the leader of the Fauvists.']",0.239168849,['Henri Matisse'],artist
"[""This artist's designs include the trompe-l'oeil colonnade linking the courtyards of the Palazzo Spada and the Falconieri chapel, which was finished by his assistant Massari after this man's nervous condition led him to commit suicide. This apprentice of Carlo Maderno replaced Carlo Rainaldi on the project of enlarging St. Agnes in Agone, patronized by Innocent X. The son of the stone cutter Giovanni Castelli, he's probably best known for his work on Sant'Ivo and his first independent commission, \xe2\x96\xbaSan Carlo alle Quattro Fontane. FTP, name this Baroque architect not to be confused with Brunelleschi, Bramante, or his archrival Bernini.""]",0.580137661,['Francesco Borromini '],artist
"[""This artist portrayed a white-clad woman holding a copy of the New Testament and a golden cup with a snake in it while standing next to her sister and waiting for the Redcrosse Knight in one of his three paintings based on The Faerie Queene. This artist of Fidelia and Speranza painted a green, huge-eared batlike dragon and a red-skinned turbaned man with ridiculous facial hair among a train of figures following the title figure of another of his paintings. A snake coils itself around one arm of that figure, whose fists both emit rays of light and whose white horse tramples a crowd of humans. He depicted a green-clad Rogers' Ranger clutching a flute and leaning over the back of a kneeling Native American warrior whose pose is reminiscent of The Thinker in a history painting whose figures, such as Simon Fraser, are all grouped around the red-clad and wounded central figure. For 10 points, name this American painter of Death on a Pale Horse and The Death of General Wolfe.""]",0.148994946,['Benjamin West'],artist
