"Downbeat Magazine jazz critic Ira Gitler used the phrase ""sheets of sound"" to describe this musician's work, which first appears in the liner notes for a 1958 album of his; and he modified the two-five-one progression to move by thirds in his namesake ""changes"". Songs like ""Lazy Bird"" and ""I'm Old Fashioned"" appear on his first solo album for Blue Note Records, 1957's Blue Train. He backed Theolonius Monk at the legendary Five Spot gig in 1957, and was integral part of the recording sessions with Miles Davis for Milestones and Kind of Blue. For 10 points, name this tenor saxophonist whose albums include Giant Steps, Live at Birdland, and A Love Supreme.",John Coltrane,composer
"A table in this painting shows the artist's name and the date 1875, and the artist depicted himself in the shadow of a doorway grasping a railing. A woman in the bottom left corner of this painting covers her face with her hands, and a man in the top left is taking (*) notes. Four men perform the main action of the painting under the guidance of the title character, whose bloodied hand is holding a scalpel. For 10 points, name this work in which the titular doctor at Jefferson Medical School lectures to his students during a surgery, painted by Thomas Eakins.",The Gross Clinic,artwork
"This artist left both his Death of Actaeon and Flaying of Marsyas unfinished at his death. One of his works shows a deity approaching an abandoned lover in a chariot pulled by two cheetahs, while another shows a sarcophagus and depicts two versions of a woman. In addition to (*) Bacchus and Ariadne and Sacred and Profane Love, he painted a depiction of a nude woman who covers her genitalia with one of her hands. For 10 points, name this Renaissance painter of the Venus of Urbino.",Titian,artist
"Two satyrs grab hold of a lance near two reclining figures in this Man's Venus and Mars. Poliziano verses inspired one of his works which includes a ghostly figure grabbing at a nymph, while Mercury reaches up to grab a fruit; that work is also known as The Allegory of Spring. Another work includes flowers midair and Zypherus grabs Chloris as the titular figure stands upon a seashell. For 10 points, identify this painter of Primavera and the Birth of Venus.",Sandro Botticelli,artist
"This artist depicted two goats lifting their two feet toward a vase of flower in one of his twelve stain glass windows located in Jerusalem. This artist painted a completely blue house near a village in one work, and he also painted a contorted figure kissing a woman holding a bouquet of flowers in The Birthday. This artist painted a man paragliding near a white Eiffel Tower in Paris Through the Window, and he depicted a figure painting a red goat in his Self-Portrait with Seven Fingers. For 10 points, name this artist who depicted an upside down woman with a violin and two large faces in his I and the Village.",Marc Zaharovich Chagall ,artist
"This man's comical cantata ""Be still, stop chattering"" is often performed like an opera, and depicts the narrator's addiction to coffee. He used a musical phrase written by Frederick the Great for his Musical Offering. An ominous nine-note phrase opens his composition called Toccata and Fugue in D-Minor. His works include the Mass in B Minor and a collection of twenty-four preludes and fugues entitled The Well-Tempered Clavier. For 10 points, name this German Baroque composer of the Goldberg Variations and the Brandenburg Concertos.",Johann Sebastian Bach,composer
"Midge, played by Barbara Bel Geddes in this film, is designing a brassiere based on the principles of the cantilevered bridge. This movie's director makes a cameo carrying a French horn case in a shipyard just before the villain, Gavin Elster, is introduced. The protagonist falls in love with Elster's wife Madeleine, who is really being impersonated by Elster's mistress Judy. Featuring Jimmy Stewart as Scottie Ferguson, a detective who has to retire after a near fall from a building, FTP what is this Alfred Hitchock movie about Ferguson's experience of the titular dizzying condition?",Vertigo,artwork
"The title figure in one of his paintings is bent forwards, showing the hand of cards she is playing. In addition to that portrait of Mary Cassatt, he showed a weary-eyed woman looking out over a glass of the title beverage in his (*) L'Absinthe . He depicted two men in suits and bowler hats examining the title commodity in his New Orleans Cotton Exchange. A man with a violin sits on the left in a painting depicting his most famous subjects. For 10 points, name this French Impressionist painter, noted for his depictions of horses and ballerinas.",Edgar Degas,artist
"This man has termed his strategy for keeping control of projects away from business and political interests as the ""organization of the artist."" He originally named his Dancing House in Prague after Fred Astaire and Ginger Rogers. One building designed by this architect has a monorail running through it. This designer of the (*) Experience Music Project also used the Nervion River for the backdrop of a sailboat-shaped museum. For 10 points, name this Canadian architect of the Guggenheim Museum in Bilbao.",Frank Gehry,artist
"The aria ""Dies Bildnis"" is sung by this opera's protagonist after he is shown a portrait by three women who had earlier saved him from a giant serpent. Another aria in this work requires the singer to hit a high F6. The protagonist of this work is accompanied by the bird-catcher Papageno and confronts Sarastro, who forces the duo to undergo several tests in order to save Pamina, whose mother is the (*) Queen of the Night. For 10 points, name this Wolfgang Amadeus Mozart opera in which Tamino receives the titular enchanted instrument.",The Magic Flute,composition
"This composer wrote the movements ""La Gibet"" and ""Scarbo"" in a challenging piece for solo piano based on the poetry of Aloysious Bertrand. One of his works opens with a flute solo over a snare drum ostinato consisting of eighth notes and sixteenth-note triplets. The Opus 50 Pavane of his teacher, Gabriel Faure, inspired this composer's Pavane for a Dead Princess. This composer of Gaspard de la Nuit suffered from a brain disorder that may have led to the repetitiveness of his piece based on a Spanish dance. For 10 points, name this French composer of Bolero.",Maurice Ravel,composer
"This composer's operas include ""The Coronation of Darius"" and three works based on the work of Ludovico Ariosto, including Orlando Furioso. Seven basses sing ""Et in Terra Pax"" in this man's second Gloria, and his The [*] Contest between Harmony and Invention includes a set of violin concerti paired with sonnets, whose second movement ends like a thunderstorm in ""L'Estate"" and whose final staccato movement depicts icy rain in ""L'Inverno"". For 10 points, name this ""Red Priest"", the Italian Baroque composer of The Four Seasons.",Antonio Vivaldi,composer
"This musician's constant practice of the song ""Cherokee"" led him to pioneer the use of higher intervals, such as sevenths, ninths, and elevenths, in jazz. This soloist's ""classic quintet"" featured Max Roach on drums and Miles Davis on trumpet. This musician's 1945 recording of ""Ko-Ko"" sparked the development of (*) bebop, a style he helped pioneer along with Dizzy Gillespie. For 10 points, name this composer of ""Ornithology"" and ""Confirmation,"" an alto saxonphone player who was nicknamed ""Bird.""",Charlie Parker,composer
"Leopold Godowsky composed a passacaglia with 44 variations on the opening theme of this work, most later scores of which seem to be based off of the score published by Spina rather than the original monograph. Most drafts omit the sustained B pedal in the first horn and second bassoon at bar 109 in this piece, which open in the cellos and basses before its theme is brought in by the winds. A solo clarinet entrance brings in a second theme before passing to the oboes in the second movement of this work, during which its composer began composing the ""Wanderer"" Fantasy as well. It was first premiered by Johann Herbeck, who also added a third movement as a finale. For 10 points, name this eighth work by Schubert, so named for only containing two complete movements.",Schubert's symphonies,composition
"The creator of this painting compared the beginning of Maupassant's Bel Ami to its subject matter in a letter to his brother. A year before making this painting, its artist made a similarly-titled scene of a bridge On the Rhone and used a similar background for a green-lit café terrace. It was allegedly painted from memory while its artist was in a sanatorium at Saint-Remy. A light blue church in the center is dwarfed on its left side by a dark green cypress tree which points upward. For 10 points, name this post-Impressionist painting in which eleven bright points and a large moon appear in a swirly dark sky, by van Gogh.",The Starry Night,artwork
"Schumann's attempted suicide prompted this composer of Variations on a Theme of Haydn to write The German Requiem. An honorary diploma from the University of Breslau prompted him to compile a group of drinking songs and write the Academic Festival Overture. This composer of The Tragic Overture also wrote four symphonies, the first of which was nicknamed Beethoven's 10th. For 10 points, name this composer of a namesake lullaby and 21 Hungarian Dances.",Johannes Brahms,composer
"This composer included the tooting of a factory whistle in his Second Symphony, while another symphony's final movement opens with a flute duet over a B flat pedal bass, and denounces anti-Semitism. He wrote an opera about Zinoviy and Katerina Izmailov, and a symphony including a ""march"" repeated 12 times and a quotation from Deutschland Uber Alles. This composer of Lady Macbeth of the Mtsensk District returned to classical models and regained favor with his Fifth Symphony. For 10 points, name this Russian composer of the ""Babi Yar"" and ""Leningrad"" Symphonies.",Dmitri Shostakovich,composer
"This composer wrote a solo piano suite as a memorial to Francois Couperin (coo-per-EH). His other works for solo piano include Pavane for a Dead Princess and a work based on three poems by Aloysius Bertrand, Gaspard de la Nuit (NWEE). As well as creating an orchestral arrangement of (*) Mussorgsky's Pictures at an Exhibition, he wrote a piece based on a repeated ostinato rhythm played on the snare drums. For 10 points, name this composer of Bolero.",Maurice Ravel,composer
"In this painting, the head of a man can be seen inside a church in the background. On the lower left side of this painting, a red crescent moon can be seen while a maid milking a cow can be found above it. One of the central figures wears a hat with red and orange triangles lining it, while also wearing a necklace with a cross on it. Another figure holding a scythe stands next to an upside-down violinist in this painting. A colorful town is seen in the background, while the foreground contains a glowing tree branch. For 10 points, name this Marc Chagall painting containing a sheep head on the left and a large green face on the right.",I and the Village,artwork
"This man used bush-hammered concrete in a work set in Boulder, Colorado that was inspired by Anasazi cliff dwellings. In addition to the Mesa Laboratory, this architect, who recently completed the Museum of Islamic Art in Doha, also designed a triangular nine-story building with a vertically-hanging American flag, the (*) John F. Kennedy Presidential Library. Another of his works was built on the shore of Lake Erie in downtown Cleveland. For ten points, name this Chinese-American architect of the Rock and Roll Hall of Fame and the glass pyramids at the Louvre.",I. M. Pei,artist
"One work by this artist shows a leopard pelt on a horse in a scene that depicts three hunting dogs and several men attacking the title creatures. Another piece by this creator of The Hippopotamus and Crocodile Hunt shows many putti playing among some red curtains while two pairs of lavishly-dressed men and women stand on a stage. That painting, The Exchange of the Princesses, was part of a series of works that was intended to depict the life of Marie de' Medici. The center panel of an altarpiece by this artist shows several muscular men attempt to lift the seemingly unbearable weight of Christ. For 10 points, name this artist known for The Elevation of the Cross and fleshy nudes.",Peter Paul Rubens,artist
"His Missa sunt bona mixta malis only has the Kyrie and part of the Gloria extant, while a later mass of his became named for Lord Nelson. One of his cantatas includes parts for Adam and Eve, while one of his string quartets includes the theme of Deutschland Uber Alles and is nicknamed ""The Emperor."" One of his symphonies was written so the performers gradually leave the stage and snuff their candles, while another includes a timpani beat in the andante. For 10 points, name this composer of The Creation and the ""Farewell"" and ""Surprise"" symphonies.",Joseph Haydn,composer
"This composer opened the fourth movement of his second minor-key symphony with a Mannheim Rocket. This composer of the Great G-minor Symphony wrote a well-loved C-minor Piano Concerto No. 24 and an A-major Clarinet Concerto. His wife Constanze lobbied Franz Sussmayer to complete this composer's Requiem. He composed the Prague and Jupiter symphonies, which are found in the Koechel catalog of his works. For 10 points, name this composer who wrote Eine Kleine Nachtmusik and variations on the melody that became Twinkle, Twinkle, Little Star.",Wolfgang Amadeus Mozart,composer
"Several pictures by this artist used Adrianus Jacobus Zuyderland as a model, including a work showing him dressed all in blue sitting in a chair with his head in his hands. In addition to that work, sometimes called Sorrowing Old Man and sometimes At Eternity's Gate, this artist painted a man leaning on his right hand with a foxglove plant in front of him. This artist also showed a poor family eating around a table with a small lamp hanging above. In addition to Portrait of Dr. Gachet and The Potato Eaters, this artist painted Starry Night. Name this artist who cut off part of his left ear.",Vincent,artist
"Peter Schabacker has reasoned that the method by which a pair of hands in this painting are joined is an indication of unequal status in society. This painting includes a miniature of Saint Margaret on a bedpost. The background of this work includes a feather duster and a chandelier with one lit candle. A dog that may symbolize loyalty in this painting sits at the feet of a woman in a green dress, who holds hands with a man clad in a tabard and black hat. For 10 points, name this painting by Jan van Eyck that depicts a matrimonial scene.",Arnolfini Portrait,artwork
"In one of this artist's paintings, a double rainbow appears above the title accordion-carrying Blind Girl. On the right side of another of his paintings, a timid-looking boy dressed only in some fur wrapped around his waist carries a bowl of water towards the title figure. In that painting by this artist, the title figure's hand is bleeding since he has cut his hand on an exposed nail in the workshop of Saint Joseph. In another of his paintings, the fully-dressed title character holds a garland of flowers and sings while calmly drowning in a river. For 10 points, name this painter of the controversial Christ in the House of His Parents and Ophelia, a co-founder of the Pre-Raphaelite Brotherhood.",John Everett Millais,artist
"A thin, serious-looking man with a pince nez sits in front of geometrical drawings in this artist's The Mathematician. A crowd of people drink and don skull masks to celebrate the title holiday in another work. Workers in the Ford Motor Company are depicted in a fresco series by this man. Those works are The Day of the Dead and Detroit Industry. A depiction of Lenin caused Nelson Rockefeller to have this artist's most famous work destroyed, though it was later remade, depicting the title figure as ""Controller of the Universe"". For 10 points, name this Mexican painter and muralist of Man at the Crossroads, the husband of Frida Kahlo.",Diego Rivera,artist
"One of his earliest works of note shows Andromache, dressed in white, reaching our her hand to a dead Hector while her son consuls her.",Jacques-Louis David,artist
"This man visited the clinic of his friend Étienne-Jean Georget to paint portraits of the insane, including one of a woman suffering from obsessive envy and another of a kleptomaniac. This artist depicted four horses galloping across a green field at the title event, The 1821 Derby at Epsom. In another work, a Napoleonic cavalry officer holds a saber while atop a rearing horse. This artist of The Charging Chasseur painted a bloodstained hatchet in the right foreground of his most famous work, which arranges the subjects in a pyramid topped by a man waving a red cloth. For 10 points, name this French artist who painted the aftermath of a sunken frigate in The Raft of the Medusa.",Théodore Géricault,artist
"This composer set Gerald Bullett's ""The English Galaxy of Shorter Poems"" for voice and harp in his Ceremony of Carols. In another work by this composer, variations A through M on a theme are each played by a different instrument of the orchestra, and each variation is based off a theme from Purcell's Abedalzar. Another work by this composer sets Wilfred Owen to music. For 10 points, name this British composer of War Requiem and A Young Person's Guide to the Orchestra.",Benjamin Britten,composer
"This man reworked a piece he wrote for Eugene Goossens into a finale for his third symphony. This man composed a work based on a visit to a dance hall with Carlos Chavez that incorporated Mexican folk music, his El Salon Mexico. He composed the score for a work that follows newlyweds on the (*) frontier, incorporating the Shaker hymn ""Simple Gifts."" For 10 points, name this composer who created the work Fanfare for the Common Man and worked with choreographer Martha Graham on Appalachian Spring.",Aaron Copland,composer
"One chamber work by this composer was written for Richard Muhlfeld shortly after his retirement. This composer of a Clarinet Quintet in B minor created a double concerto for violin and cello, and he composed a D minor companion to one of his most famous works. This composer of a Tragic Overture also created a set of Hungarian Dances, and his first symphony was nicknamed ""Beethoven's Tenth."" The conferral of an honorary degree from the University of Breslau prompted him to write his Academic Festival Overture. For 10 points, name this composer of A German Requiem and a namesake lullaby.",Johannes Brahms,composer
"His Piano Concerto No. 3 was originally intended to be a symphony but was published as a one-movement Allegro brillante posthumously. He wrote an un-numbered Manfred Symphony between his 4th and 5th, and his 7th was left unfinished at his death. The opening 36-bar Andante introduction is marked sempre marcatissimo in his Serenade for Strings, and his visit to Rome inspired his Capriccio italien. Using part of La Marseillaise in one piece that often uses canons at the end, this is, for 10 points, what Russian composer of the 1812 Overture and Symphony No. 6, Pathetique?",Pyotr Ilytch Tchaikovsky,composer
"Smoke rises from a Byzantine city while people kneel down to the titular soldiers in one work by this artist, who also painted a man in white turban preparing to stab an animal that is attacking his horse. In addition to Entry of the Crusaders into Constantinople and The Tiger Hunt, this artist painted a work where naked women are slaughtered in front of the title Assyrian king. A man in a top hat and a boy brandishing pistols appear in the best-known work by this artist of The Death of Sardanapalus; that work also depicts a bare-chested woman wearing a Phygrian cap and holding a tri-color flag. For 10 points, name this French artist of Liberty Leading the People.",Eugène Delacroix,artist
"Sections added to this ballet include a pas de deux for the prima ballerina Anna Sobeshchanskaya and a Russian dance for the ballerina Pelageya Karpakova. A ""Dance of the Corps and the Dwarves"" appears during a party in this ballet's third act, which contains a set of nationalist dances including a mazurka and a Neopolitan dance. At that ball, a prince accidentally vows his love to Odile thanks to the machinations of an evil magician and is forced to live without (*) Odette. For 10 points each, name this ballet about a woman forced by the sorcerer von Rothbart to live as the title bird during the day, composed by Tchaikovsky.",Swan Lake,composition
"The songs ""But who may abide"" and ""How beautiful are the feet"" were changed after the premiere of this piece, which was debuted in London along with its composer's piece Samson. It was based on text prepared by Charles Jennens. It is split into three sections, which depict the Annunciation, the Passion, and the Aftermath. This work includes the aria ""I know that my redeemer liveth"" and a section that inspired King George II to stand, the ""Hallelujah Chorus."" For 10 points, name this oratorio composed in 1741 by George Frederic Handel.",Messiah,composition
"One opera by this composer contains the four Sea Interludes, and tells of the title fisherman's alleged murder of his apprentice, who is replaced with John. Another work by this composer features a positive organ and a boys' choir separated from the main chorus and orchestra. That work, set to both traditional Latin liturgical texts and Wilfred Owen poems, is the War Requiem. This composer of Peter Grimes wrote an orchestral piece based on a theme by Henry Purcell featuring variations for every instrument. For 10 points, name this English composer of The Young Person's Guide to the Orchestra.",Benjamin Britten,composer
"Like Darius Milhaud's La création du monde, this composition makes extensive use of the ""Good evening, friends"" riff. One famous feature of this piece was originally improvised by Ross Gorman during a rehearsal. One of its themes is sometimes known as the ""Train"" theme, and it was supposedly inspired by the ""steely rhythms"" and ""rattle-ty bang"" of a train ride to Boston. It was commissioned by the bandleader Paul Whiteman, and it is usually heard in an orchestration by the composer of the Grand Canyon Suite, Ferde Grofé. It opens with a trill and glissando for a solo clarinet. For 10 points, name this piece for solo piano and jazz band by George Gershwin.",Rhapsody in Blue,composition
"Zones 2 through 8 were the ""textural range"" of this artist's zone system. One of his works shows a field of boulders against a background of Mount Williamson. He made a series of prints depicting everyday life at Manzanar interment camp. Along with Weston and Cunningham, he founded Group f/64. One work shows a small town in the foreground and a white dot in the otherwise black sky, ""Moonrise, Hernandez, New Mexico."" He also took photos of El Capitan and Half Dome. For 10 points, name this American photographer of Yosemite National Park.",Ansel Adams,artist
"One work by this composer includes parts for a gourd, temple blocks, woodblock, and tabor. That piece utilized folk songs such as ""El Palo Verde"" and ""La Jesusita"" and was titled El Salon Mexico. He included in another composition the songs ""Camptown Races"" and ""Springfield Mountain,"" and that work included lines from the Gettysburg Address. Another work by this composer of A Lincoln Portrait was choreographed by Martha Graham and included a theme based on the Shaker melody ""Simple Gifts"" and a ""Hoedown"" movement. For 10 points, name this American composer of Appalachian Spring and Rodeo.",Aaron Copland,composer
"One of this artist's paintings depicts Brutus sitting in the shadows as lictors bring his dead sons out to him, while Hersilia, the wife of Romulus, separates two fighting men in his The Intervention of the Sabine Women. Another painting by this man shows three brothers holding out their arms as their father holds three swords, while another work shows a victim of Charlotte Corday lying in a bathtub. For 20 points, name this French Neoclassical painter of The Oath of the Horatii and The Death of Marat.",Jacques-Louis David,artist
"This composer published sixteen pieces including a ""Dumka"" and a polka that was inspired by a Hungarian-style work by Brahms. In addition to Slavanic Dances, this man composed the a symphony that quotes ""Swing Low, Sweet Chariot"" and was inspired by the Song of Hiawatha that has a ""largo"" movement. For ten points, name this Czech composer who lived in America when he wrote his Symphony Number 9 in E minor, subtitled From the New World.",Antonín Dvořák,composer
"One work by this composer concludes with the prayer Shema Yisroel. In addition to A Survivor from Warsaw, this composer wrote a string sextet inspired by a Richard Dehmel poem including an inverted ninth. In another work based on poems of Albert Giraud, the title character sings in the Sprechstimme style of his longing for his home of Bergamo. The composer of Transfigured Night and Pierrot Lunaire, for 10 points, name this founder of the Second Viennese School and inventor of the twelve-tone system.",Arnold Schoenberg,composer
"The cadenza from this composition's third movement is quoted in the fourth measure of melody in Chopin's Fantasie Impromptu. This work's adagio sostenuto first movement contains the instruction for the sustain pedal to be held down continuously in its duration, and it was dedicated to the composer's pupil, Countess Julie Guicciardi. This C-sharp minor piece is its composer's fourteenth in a genre he heavily innovated. Originally called ""Quasi una fantasia,"" it was nicknamed by Ludwig Rellstab due to its evocation of Lake Lucerne at night. For 10 points, name this piano piece by Ludwig van Beethoven.",Piano Sonata No. 14 (Beethoven),composition
"The premiere of this work omitted the title character from the final scene, which occurs after its protagonist breaks an egg. Its choreographer Michel Fokine played a character that falls in love with Vasilisa at its premiere. A descending chromatic motif in the strings represents a king in this work, while one scherzo from it depicts a dance by thirteen princesses playing a game with (*) golden apples. Its antagonist performs the ""Infernal Dance"" after being bewitched by the title creature. Kashchei the Immortal is defeated by Prince Ivan with the help of the title avian in, for ten points, what ballet, whose music was composed by Igor Stravinsky?",The Firebird,composition
"This musician sang duets like ""Let's Call the Whole Thing Off"" with Ella Fitzgerald and recorded albums with his ""Hot Five"" and ""Hot Seven"" bands. He sang ""It's so nice to have you back where you belong"" in one song, and described ""Bright blessed days"" and ""dark sacred nights"" in another song. (*) For 10 points, what jazz trumpeter, nicknamed ""Satchmo"" sang ""Hello, Dolly!"" and ""What a Wonderful World""?",Louis Armstrong,composer
"This painting was reenacted in an Eve Sussman film that lasts eighty-nine seconds. A man with a bent knee is depicted in a doorway in the background of this work, which also shows a mirror reflecting the artist's patrons. A large canvas facing away from the viewer occupies the left part of this work, which is set in the artist's studio in the Alcazar palace. A large mastiff is seated by the foot of a dwarf in this work's bottom right. For 10 points, name this painting depicting the Infanta Margarita and family of Philip IV of Spain, by Diego Velazquez.",Las Meninas,artwork
"This painting was originally supposed to serve as the companion piece to Giovanni Rost's Innocence tapestry, and in Studies in Iconology, Erwin Panofsky has argued that it represents a critique of Luxury. One obscured figure in this painting appears to have a right hand attached to her left arm and a left hand attached to her right arm; she also has a lion's leg and a serpent's tail coming out of her body. At the lower left of is a dove, above it is a woman tearing away her hair in agony, and above her is a mask-like face without eyeballs. More masks lie at the lower right of this painting, near the feet of a character that holds the golden apple. One character has rose petals in his hands, and these characters in the foreground are characterized by sensuous, silk-like skin. A bald, bearded man grasps the blue curtain in the background. For 10 points, incestuous kissing and breast-groping are two of the few things going on in what allegorical painting by Bronzino?","Venus, Cupid, Folly and Time",artwork
"After it was refused by the mayor of Laval, this painting was acquired by a charcoal merchant from whom it was purchased by Louis Vauxcelles. This painting's sky contains only six stars and a realistic moon, which hang above a line of lavender mountains. Andre Breton accused this painting of being a forgery when it was acquired by the MoMA. A letter by the artist of this painting identifies a red jar in it as containing drinking water and describes how one character in it picks up the other's ""scent, yet does not devour her"". Its central figure is dressed in striped ""oriental costume"" and holds a stick in one hand, while a mandolin with a bent neck sits next to her. For 10 points, name this painting by Henri Rousseau that depicts a lion looking at a slumbering woman.",The Sleeping Gypsy,artwork
"One work of his, the colossal Saint John the Evangelist currently resides in the Duomo of Florence, but from its creation until 1588, it occupied a place in the façade of the Baptistery, a building which this artist's mentor, Lorenzo Ghiberti, had designed. Following his work on Saint John, he worked on a statue of St. Mark for the Orsanmichele church, where he would also create a statue of Saint George several years later. While working on the sculpture Habbakuk, or Zuccone, he is alleged to have repeatedly muttered ""Speak, Damn you, Speak"" at the marble he was working with. For ten points, identify this 15th-century artist and sculptor of the Equestrian Monument of Gattamelata and the Bronze David.",Donatello,artist
